referee,date,venue_name,venue_city,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
Luis Santander,2022-07-02,Estadio Victoria,Aguascalientes,Apertura - 1,Necaxa,Toluca,False,True,1,3,1,2,1,3,0,0,0,0
Daniel Quintero,2022-07-02,Estadio de Mazatlán,Mazatlán,Apertura - 1,Mazatlán,Puebla,False,True,2,4,0,2,2,4,0,0,0,0
Ismael López,2022-07-02,Estadio AKRON,Zapopan,Apertura - 1,Guadalajara Chivas,FC Juarez,False,False,0,0,0,0,0,0,0,0,0,0
Oscar Mejia,2022-07-03,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 1,Tigres UANL,Cruz Azul,False,True,2,3,0,1,2,3,0,0,0,0
Fernando Guerrero,2022-07-03,Estadio Azteca,Ciudad de Mexico,Apertura - 1,Club America,Atlas,False,False,0,0,0,0,0,0,0,0,0,0
Adonai Escobedo,2022-07-03,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 1,U.N.A.M. - Pumas,Club Tijuana,False,False,1,1,0,1,1,1,0,0,0,0
Fernando Hernandez,2022-07-03,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 1,Atletico San Luis,Leon,False,True,1,2,0,1,1,2,0,0,0,0
Jorge Perez,2022-07-04,Estadio TSM Corona,Torreón,Apertura - 1,Santos Laguna,Monterrey,True,False,4,3,2,2,4,3,0,0,0,0
Cesar Ramos,2022-07-05,Estadio Hidalgo,Pachuca,Apertura - 1,Pachuca,Club Queretaro,True,False,2,0,1,0,2,0,0,0,0,0
Adonai Escobedo,2022-07-09,Estadio de Mazatlán,Mazatlán,Apertura - 2,Mazatlán,Tigres UANL,False,True,0,1,0,1,0,1,0,0,0,0
Cesar Ramos,2022-07-09,Estadio Cuauhtémoc,Puebla,Apertura - 2,Puebla,Santos Laguna,True,False,1,0,1,0,1,0,0,0,0,0
Oscar Macías,2022-07-09,Estadio Caliente,Tijuana,Apertura - 2,Club Tijuana,FC Juarez,False,True,0,2,0,0,0,2,0,0,0,0
Oscar Mejia,2022-07-10,Estadio AKRON,Zapopan,Apertura - 2,Guadalajara Chivas,Atletico San Luis,False,True,0,1,0,1,0,1,0,0,0,0
Victor Caceres,2022-07-10,Estadio Azteca,Ciudad de Mexico,Apertura - 2,Cruz Azul,Pachuca,False,True,1,2,0,2,1,2,0,0,0,0
Marco Ortíz,2022-07-10,Estadio BBVA,Monterrey,Apertura - 2,Monterrey,Club America,True,False,3,2,1,2,3,2,0,0,0,0
Fernando Hernandez,2022-07-10,Estadio Nemesio Díez,Toluca,Apertura - 2,Toluca,Atlas,True,False,3,2,3,1,3,2,0,0,0,0
Fernando Guerrero,2022-07-10,Estadio La Corregidora,Queretaro,Apertura - 2,Club Queretaro,Necaxa,False,True,1,2,1,1,1,2,0,0,0,0
Jesús López,2022-07-10,Estadio Nou Camp,Leon,Apertura - 2,Leon,U.N.A.M. - Pumas,False,False,3,3,0,2,3,3,0,0,0,0
Adonai Escobedo,2022-07-14,Estadio Azteca,Ciudad de Mexico,Apertura - 3,Club America,Toluca,True,False,1,0,0,0,1,0,0,0,0,0
Erick Miranda,2022-07-16,Estadio Cuauhtémoc,Puebla,Apertura - 3,Puebla,Leon,False,False,1,1,1,0,1,1,0,0,0,0
Eduardo Galvan,2022-07-16,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 3,FC Juarez,Club Queretaro,False,False,1,1,1,1,1,1,0,0,0,0
Oscar Macías,2022-07-16,Estadio Jalisco,Guadalajara,Apertura - 3,Atlas,Cruz Azul,True,False,3,2,1,1,3,2,0,0,0,0
Marco Ortíz,2022-07-17,Estadio TSM Corona,Torreón,Apertura - 3,Santos Laguna,Guadalajara Chivas,False,False,1,1,0,0,1,1,0,0,0,0
Daniel Quintero,2022-07-17,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 3,U.N.A.M. - Pumas,Necaxa,True,False,1,0,1,0,1,0,0,0,0,0
Fernando Guerrero,2022-07-17,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 3,Atletico San Luis,Monterrey,False,True,0,1,0,0,0,1,0,0,0,0
Victor Caceres,2022-07-18,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 3,Tigres UANL,Club Tijuana,True,False,1,0,0,0,1,0,0,0,0,0
Jorge Camacho,2022-07-19,Estadio Hidalgo,Pachuca,Apertura - 3,Pachuca,Mazatlán,False,False,1,1,0,0,1,1,0,0,0,0
Jorge Perez,2022-07-21,Estadio AKRON,Zapopan,Apertura - 4,Guadalajara Chivas,Leon,False,False,0,0,0,0,0,0,0,0,0,0
Luis Santander,2022-07-22,Estadio La Corregidora,Queretaro,Apertura - 4,Club Queretaro,Monterrey,False,True,0,3,0,1,0,3,0,0,0,0
Ismael López,2022-07-23,Estadio de Mazatlán,Mazatlán,Apertura - 4,Mazatlán,Atletico San Luis,False,False,1,1,1,1,1,1,0,0,0,0
Cesar Ramos,2022-07-23,Estadio Victoria,Aguascalientes,Apertura - 4,Necaxa,FC Juarez,True,False,1,0,1,0,1,0,0,0,0,0
Diego Montaño,2022-07-23,Estadio Nemesio Díez,Toluca,Apertura - 4,Toluca,Santos Laguna,True,False,2,1,2,0,2,1,0,0,0,0
Fernando Guerrero,2022-07-24,Estadio Azteca,Ciudad de Mexico,Apertura - 4,Cruz Azul,Puebla,False,False,2,2,2,2,2,2,0,0,0,0
